id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3213607,"Trendy King/Queen West Studio, private entrance",8024143,Edward,,Niagara,43.64238,-79.40353,Private room,139,3,24,2018-09-17,0.43,1,88
3224468,CHARMING HOUSE--Whole house or room,2783777,Heather,,Roncesvalles,43.64739,-79.44087,Entire home/apt,100,2,11,2019-01-01,0.26,1,354
3228216,Beautiful Home with Backyard dtwn!,4532928,Andrea,,Moss Park,43.65597,-79.35706,Private room,147,1,1,2014-08-05,0.02,1,0
3229123,Quirky and Modern 2bd/2bth Suite DT Toronto ☆☆☆☆☆,11206244,Superhost,,Waterfront Communities-The Island,43.64483,-79.37607,Entire home/apt,196,2,29,2018-09-11,0.66,25,365
3229169,Hello Gorgeous! In-law suite!,9330404,Stephanie & Samuel,,Runnymede-Bloor West Village,43.66313,-79.482,Private room,90,2,71,2019-02-08,1.24,1,0
3238717,Great Bedroom in Charming Area,7100031,Benjamin,,Palmerston-Little Italy,43.65722,-79.41105,Private room,60,7,1,2015-07-22,0.02,1,0
3241344,Luxury Guest Suite near Downtown Toronto,8878915,Caroline,,O'Connor-Parkview,43.71422,-79.30576,Entire home/apt,121,2,183,2019-01-20,3.25,1,284
3246128,Downtown residential,16420646,Zac,,Trinity-Bellwoods,43.65211,-79.41868,Private room,60,2,5,2016-04-09,0.11,1,0
3250197,Classic Loft Downtown,15856580,Alex,,North St.James Town,43.66864,-79.37599,Entire home/apt,150,1,1,2016-02-16,0.03,1,0
3257102,1+Den Luxury 47th Floor Lake View,10989200,Amanda,,Waterfront Communities-The Island,43.63908,-79.39355,Entire home/apt,99,3,0,,,1,0
3264728,The Loft,1170217,Frank,,Church-Yonge Corridor,43.66051,-79.37858,Private room,104,7,19,2018-12-16,0.41,2,230
3268160,"Perfect location, great view!",5499165,Kathyrin,,Waterfront Communities-The Island,43.64148,-79.38401,Entire home/apt,170,5,9,2018-07-07,0.16,1,0
3268764,In the heart of downtown Toronto!!,16528790,Air Hostess,,Church-Yonge Corridor,43.65656,-79.3807,Entire home/apt,129,4,24,2018-09-12,0.42,1,71
3269244,Leslieville Loft Style House,735228,Lisa,,South Riverdale,43.66019,-79.3464,Entire home/apt,250,2,91,2019-02-19,1.60,1,332
3270314,Toronto High Park Apartment,1200367,Grace,,High Park North,43.65866,-79.4611,Entire home/apt,155,5,39,2019-01-21,0.70,4,220
3271129,Bedroom & Private Bathroom Downtown (Women only),5857009,Miriam,,Cabbagetown-South St.James Town,43.66564,-79.37657,Private room,60,90,17,2018-12-22,0.33,1,310
3271579,Century Home with Charm and Luxe,2224739,Liane,,High Park North,43.66254,-79.45878,Entire home/apt,321,3,81,2019-02-01,1.43,1,251
3272141,Two story apt above popular bakery,16510788,Lori,,South Riverdale,43.66046,-79.34404,Entire home/apt,125,2,60,2018-10-29,1.07,1,214
3282729,Little Italy - apartment,16590728,Courtney,,Palmerston-Little Italy,43.65441,-79.42472,Entire home/apt,79,2,109,2018-12-29,1.97,4,71
3290328,Modest Elegance on the Avenue,16622400,Anya-Milana,,Yonge-Eglinton,43.70824,-79.40985,Private room,42,3,148,2019-02-05,2.57,1,196
3293870,Stay downtown: Bright Annex Apt!,8702770,Lucy,,Annex,43.67006,-79.40133,Entire home/apt,84,2,0,,,1,0
3300125,Private Huge Room w/ Link Bathroom,16667436,Eddie,,Steeles,43.81569,-79.32594,Private room,32,3,23,2019-02-15,0.40,2,207
3302679,☆☆☆☆☆ Wow - Peaceful Clean Place For Your Stay,11206244,Superhost,,Oakridge,43.69911,-79.27728,Private room,55,2,9,2015-11-01,0.16,25,365
3303891,Jarvis and Maitland ,16687120,Brenda,,Cabbagetown-South St.James Town,43.66576,-79.37761,Entire home/apt,350,1,0,,,1,0
3307887,Trendy & Modern 2 BR 2B corner unit,1948752,Diego Damian,,South Parkdale,43.64077,-79.42574,Entire home/apt,143,3,130,2019-02-20,2.37,4,299
